Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C8:69:CD:19:75:2A, 2020-12-20 16:57:26, 2020-12-20 16:57:26, -88,        4, 00:A0:57:3B:59:0E,
00:0E:58:12:1C:5B, 2020-12-20 16:57:23, 2020-12-20 16:57:35, -67,      188, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:57:23, 2020-12-20 16:57:35,   0,        5, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:57:23, 2020-12-20 16:57:35, -51,        5, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C8:69:CD:19:75:2A, 2020-12-20 16:57:26, 2020-12-20 16:57:26, -88,        4, 00:A0:57:3B:59:0E,
16:52:DB:51:BC:92, 2020-12-20 16:58:17, 2020-12-20 16:58:17, -84,        2, (not associated) ,
00:0E:58:12:1C:5B, 2020-12-20 16:57:23, 2020-12-20 16:58:50, -68,     1129, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
20:DF:B9:7E:8D:D9, 2020-12-20 16:57:57, 2020-12-20 16:57:58, -63,       28, (not associated) ,LANCOM
78:28:CA:C3:F6:E7, 2020-12-20 16:57:23, 2020-12-20 16:58:46, -47,       23, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:57:23, 2020-12-20 16:58:46, -46,       28, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
06:AF:9E:41:07:A6, 2020-12-20 16:58:47, 2020-12-20 16:58:47, -85,        2, (not associated) ,
:9C:6A:21:E9:46, 2020-12-20 16:59:05, 2020-12-20 16:59:05, -93,        1, (not associated) ,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:27:EB:B9:E4:8B, 2020-12-20 17:01:21, 2020-12-20 17:01:21, -46,        9, (not associated) ,
64:70:33:E4:0E:94, 2020-12-20 17:01:21, 2020-12-20 17:01:21, -84,        5, (not associated) ,LANCOM
66:32:1E:3B:2F:2C, 2020-12-20 16:59:17, 2020-12-20 17:01:21, -89,       10, (not associated) ,LANCOM
38:EA:A7:C8:D8:97, 2020-12-20 17:00:41, 2020-12-20 17:00:41, -60,        2, 00:A0:57:3B:59:0E,
A2:53:56:6A:F2:B6, 2020-12-20 16:59:48, 2020-12-20 16:59:52, -87,        4, 00:25:00:FF:94:73,
C8:69:CD:19:75:2A, 2020-12-20 16:57:26, 2020-12-20 16:59:56, -89,        7, 00:A0:57:3B:59:0E,
00:1B:EA:F2:DD:9F, 2020-12-20 16:59:10, 2020-12-20 16:59:40, -64,      309, (not associated) ,LANCOM
A6:9C:6A:21:E9:46, 2020-12-20 16:59:05, 2020-12-20 16:59:05, -93,        1, (not associated) ,
16:52:DB:51:BC:92, 2020-12-20 16:58:17, 2020-12-20 16:58:17, -84,        2, (not associated) ,
06:AF:9E:41:07:A6, 2020-12-20 16:58:47, 2020-12-20 16:58:47, -85,        2, (not associated) ,
14:02:62:B3:1A:3E, 2020-12-20 16:59:34, 2020-12-20 16:59:34, -79,        2, (not associated) ,
D8:00:4D:EC:23:2C, 2020-12-20 16:59:46, 2020-12-20 16:59:46, -89,        1, (not associated) ,LANCOM
FA:78:E9:E0:58:7F, 2020-12-20 17:00:51, 2020-12-20 17:00:51, -83,        1, (not associated) ,
80:C5:F2:C5:67:CD, 2020-12-20 17:01:22, 2020-12-20 17:01:22, -61,        1, 00:A0:57:3B:59:0E,
A4:CF:12:13:FC:74, 2020-12-20 17:02:15, 2020-12-20 17:02:15, -86,        1, 00:A0:57:3B:59:0E,
34:E2:FD:90:5B:2F, 2020-12-20 16:59:22, 2020-12-20 17:02:22, -75,       11, 00:A0:57:3B:59:0E,LANCOM
20:DF:B9:7E:8D:D9, 2020-12-20 16:57:57, 2020-12-20 17:02:14, -73,      109, (not associated) ,LANCOM
00:0E:58:12:1C:5B, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -63,     4187, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -48,      104, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:57:23, 2020-12-20 17:02:50, -46,       89, 00:0E:58:12:1C:5B,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:5B:94:AA:5E:18, 2020-12-20 17:05:23, 2020-12-20 17:09:20, -80,       13, 00:A0:57:3B:59:0E,
9E:7B:B1:BA:EA:0F, 2020-12-20 17:07:40, 2020-12-20 17:07:40, -37,        1, (not associated) ,
